ID,NPC_ID,DIALOGUE_TEXT,CHOICES,NEXT_DIALOGUE_IDS,CONDITION,IS_END_DIALOGUE
alric_001,alric,눈 떴네요.,,dietrich_001,,FALSE
dietrich_001,dietrich,음.,,narration_032,,FALSE
narration_032,narration,(공기가 무겁다. 네 쌍의 눈이 모두 장을 향해 있었다.),,jang_037,,FALSE
jang_037,jang,… (괜히 입 열었다가 그르칠 분위기다…),,narration_033,Angry,FALSE
narration_033,narration,(장은 일단 닥치고 있기로 했다.),,dietrich_002,,FALSE
dietrich_002,dietrich,외지인이시라고.,,jang_038,,FALSE
jang_038,jang,… 그렇습니다.,,dietrich_003,Angry,FALSE
dietrich_003,dietrich,으음. ,,narration_034,,FALSE
narration_034,narration,"(경계하는 것 같기도, 흥미로워하는 것 같기도 한 눈빛이 장의 복장을 훑어보았다.)",,jack_027,,FALSE
jack_027,jack,"하하, 어때 디트리히. 내가 이번엔 제대로 한 건 물어왔다고!",,narration_035,,FALSE
narration_035,narration,(장은 잭을 노려보고 싶은 마음을 간신히 참았다.),,jack_028,,FALSE
jack_028,jack,나는 이만 갈 테니 잘들 해 보시게!,,jang_039,,FALSE
jang_039,jang,… …,,lorenz_002,Angry,FALSE
lorenz_002,lorenz,"디츠, 잘 생각하세요. 아무나 알 수 있는 레시피는 아니에요.",,alric_002,,FALSE
alric_002,alric,맞는 말입니다.,,dietrich_004,,FALSE
dietrich_004,dietrich,하지만 정황이 좀 부족하군. 그들이 연구실에 침입한 것은 벌써 한 달이 넘은 일이야.,,dietrich_005,,FALSE
dietrich_005,dietrich,"이 자는… 의심스럽지만, 그래. 그 일과는 가닥이 좀 달라보여.",,alric_003,,FALSE
alric_003,alric,그럼 저 자의 입으로 직접 듣는 건 어떻습니까.,,lorenz_003,,FALSE
lorenz_003,lorenz,동의합니다.,,narration_036,,FALSE
narration_036,narration,"(모두가 장에게로 시선을 맞추었다. 장은 가볍게 한숨을 내쉰 후 입을 열었다. 이래봬도, 고객 응대 십수년 경력의 자영업자다.)",,jang_040,,FALSE
jang_040,jang,제게는 어떤 향이든지 똑같이 복제해낼 수 있는 능력이 있습니다.,,dietrich_006,Angry,FALSE
dietrich_006,dietrich,…!,,dietrich_007,,FALSE
dietrich_007,dietrich,"그건, 말이 안 되는데.",,narration_037,,FALSE
narration_037,narration,(사람 상대할 때 가장 잘 먹히는 방식은 언제나 백 마디 말보다 한 번의 행동이다.),,jang_041,,FALSE
jang_041,jang,"지금 아무런 향수나 만들어보세요. 그것과 똑같은 향수를, 이 자리에서 제가 만들어보이겠습니다.",,dietrich_008,Surprised,TRUE
dietrich_008,dietrich,… …,,dietrich_009,,FALSE
dietrich_009,dietrich,… 진짜였군. 정말…,,alric_004,,FALSE
alric_004,alric,… 놀랍네요.,,lorenz_004,,FALSE
lorenz_004,lorenz,"디츠, 이건…",,dietrich_010,,FALSE
dietrich_010,dietrich,"릭, 로르.",,dietrich_011,,FALSE
dietrich_011,dietrich,"우리 연구회의 인원은 오늘부로 4인이네. 릭, 이 자에게 열쇠를 내어주게나.",,alric_005,,FALSE
alric_005,alric,네. 디츠.,,lorenz_005,,FALSE
lorenz_005,lorenz,디츠…! 이 자를 절대 놓쳐서는 안 됩니다.,,dietrich_012,,FALSE
dietrich_012,dietrich,그래. 상대 측에 빼앗기기라도 하면 연구회의 존재 자체가 위태로워지겠지,,lorenz_006,,FALSE
lorenz_006,lorenz,"네, 그러니 이 자에게 씨앗을 내어줍시다.",,dietrich_013,,FALSE
dietrich_013,dietrich,… 로르. 씨앗이 귀하다고는 하지만 일부 내어주는 것쯤이야 내겐 문제가 되지 않네.,,dietrich_014,,FALSE
dietrich_014,dietrich,다만 자네도 알고 있겠지. 화원을 가꾸는 일은 가호를 타고나야만 할 수 있어.,,dietrich_015,,FALSE
dietrich_015,dietrich,이 자에게 드래곤의 가호가 깃들어있을 것이라 보나? 그는 외지인이야.,,lorenz_007,,FALSE
lorenz_007,lorenz,저는… 예언을 믿어보고 싶습니다.,,dietrich_016,,FALSE
dietrich_016,dietrich,… 예언이라.,,alric_006,,FALSE
alric_006,alric,외지인에게 가호가 깃든 사례는 종종 있었습니다. 물론 그 힘이 세지는 않았으나...,,alric_007,,FALSE
alric_007,alric,혹시 모를 일이죠. 예외란 언제나 존재하는 법이니.,,lorenz_008,,FALSE
lorenz_008,lorenz,디츠. 이 자는 제3 오염지대에서 발견되었습니다. 심지어는 발견 당시 기절해있었어요. 원래라면 그는…,,alric_008,,FALSE
alric_008,alric,한참 전에 숨이 끊어졌어야 맞겠군요.,,dietrich_017,,FALSE
dietrich_017,dietrich,… …,,dietrich_018,,FALSE
dietrich_018,dietrich,그렇군. 그래.,,dietrich_019,,FALSE
dietrich_019,dietrich,로르.,,lorenz_009,,FALSE
lorenz_009,lorenz,"네, 디츠.",,dietrich_020,,FALSE
dietrich_020,dietrich,화원의 사용법을 전수하게.,,lorenz_010,,FALSE
lorenz_010,lorenz,받들겠습니다.,,dietrich_021,,FALSE
dietrich_021,dietrich,릭. 자네는 전수가 끝나면 마을의 의뢰를 전하도록 하게.,,alric_009,,FALSE
alric_009,alric,"네, 디츠. 받들겠습니다.",,narration_038,,TRUE
narration_038,narration,(전달받을 향수의 뚜껑을 열자 재료의 배합을 대강 알 수 있었다.),,narration_039,,FALSE
narration_039,narration,(주 재료는 장미. 그 중에서도 이 붉은 장미이다.),,narration_040,,FALSE
narration_040,narration,(이제 꽃을 손질해야 하는데…),,narration_041,,TRUE
narration_041,narration,(손질은 다 됐다. 이제 에센스를 추출해야겠어.),,narration_042,,TRUE
narration_042,narration,(이제 에센스를 조합하면 되겠어.),,jang_042,,TRUE
jang_042,jang,"자, 완성이다…",,jang_043,,FALSE
jang_043,jang,시험을 마치러 가야겠어.,,alric_010,,TRUE
alric_010,alric,음… 받으세요. 연구실 출입 열쇠랑… 그리고.,,alric_011,,FALSE
alric_011,alric,선물입니다.,,jang_044,,TRUE
jang_044,jang,…,,narration_043,,FALSE
narration_043,narration,(장은 가볍게 목례했다.),,alric_012,,FALSE
alric_012,alric,소개를 드리죠. 이곳은 우리 ‘연구회’의 연구실이자 화원입니다.,,alric_013,,FALSE
alric_013,alric,바닥에 화단을 설치하면 식물을 재배할 수 있죠.,,alric_014,,FALSE
alric_014,alric,"먼저, 화단을 설치하십시오.",,alric_015,,TRUE
alric_015,alric,"다음으로, 흙에 물을 주십시오.",,alric_016,,TRUE
alric_016,alric,이제 씨앗을 심으면 됩니다.,,alric_017,,TRUE
alric_017,alric,식물은 시간이 지나면 자랍니다.,,alric_018,,FALSE
alric_018,alric,맨손으로 다 자란 식물을 클릭하면 수확할 수 있으니 기다리세요.,,alric_019,,FALSE
alric_019,alric,… …,,alric_020,,FALSE
alric_020,alric,뭐… 시간이 걸릴 테니 기다리는 동안 마을을 둘러봐도 될 것 같네요.,,alric_021,,FALSE
alric_021,alric,마을 사람들은 각자의 집에 있을 겁니다.,,alric_022,,FALSE
alric_022,alric,인사하고 오시길 권하죠.,,,,TRUE
